barcode;name;brand;category;reference;arcor_code;arcor_desc;confidence
;CEREAL MIX LIGHT YOG/FRUT x28g;ARCOR;;12625;;;sin-match
;CEREAL MIX ORIG.x23g.;ARCOR;;3786;;;sin-match
;CEREAL MIX PASION.CHOC x23g;ARCOR;;1002;;;sin-match
;CEREAL MIX PLACERES CHOC.x23;ARCOR;;3789;;;sin-match
;CEREAL MIX SNACK CACAO x100g;ARCOR;;14092;;;sin-match
;CEREAL MIX SNACK ORIGINAL x100g;ARCOR;;14091;;;sin-match
;CEREAL MIX YOGURT/FRUT x28g;ARCOR;;12626;;;sin-match
;CEREALMIX RELL. FLLA. x32g.;ARCOR;;2582;;;sin-match
7790580124304;CEREALMIX RELL. MANZANA x32g.;ARCOR;NUTRICIÓN;2580;1012580;BARRAS COOKIES & CREAM 6 X 16 X 45 Gr.;alta
7790580128371;CHIC POOSH FRUTILLA x250g;ARCOR;GOLOSINAS;12837;1012837;CHICLE RELLENO ARCOR FRUTILLA 18 x 250 Gr.;alta
;CHIC POOSH FRUTIS x202G;ARCOR;;13004;;;sin-match
;CHIC POOSH FRUTIS x500gr;ARCOR;;13584;;;sin-match
7790580128357;CHIC POOSH TUTTI FRUTTI x 250g;ARCOR;GOLOSINAS;12835;1012835;CHICLE RELLENO ARCOR TUTTI FRUTTI 18 x 250 Gr.;alta
7790580128371;CHICLE RELLENO ARCOR FRUTILLA 18 x 250 Gr.;ARCOR;GOLOSINAS;1012837;1012837;CHICLE RELLENO ARCOR FRUTILLA 18 x 250 Gr.;arcor-catalog
7790580128357;CHICLE RELLENO ARCOR TUTTI FRUTTI 18 x 250 Gr.;ARCOR;GOLOSINAS;1012835;1012835;CHICLE RELLENO ARCOR TUTTI FRUTTI 18 x 250 Gr.;arcor-catalog
;CHOC ARCOR MILK 20x12g;ARCOR;;13345;;;sin-match
7790580110024;CHOC EXTRA FINO 60% CACAO x 150gr;ARCOR;CHOCOLATES;12902;1012902;EXTRAFINO AGUILA 60% CACAO 4 X 15 X 150 Gr.;alta
;CHOC. ARCOR 50% CACAO X80g.;ARCOR;;15061;;;sin-match
;CHOC. ARCOR BCO/LECHx95g;ARCOR;;13466;;;sin-match
;CHOC. ARCOR BLANCO MANI x80g.;ARCOR;;15059;;;sin-match
;CHOC. ARCOR BLANCO x95g;ARCOR;;13465;;;sin-match
;CHOC. ARCOR BLCO/LECHE x80g.;ARCOR;;15060;;;sin-match
;CHOC. ARCOR CRISPY x80g.;ARCOR;;15130;;;sin-match
;CHOC. ARCOR LECHE MANI x80g.;ARCOR;;15058;;;sin-match
;CHOC. ARCOR LECHE/MANI x95g;ARCOR;;13464;;;sin-match
;CHOC. ARCOR SEMIAMARGO x95gr;ARCOR;;13467;;;sin-match
;CHOC.AGUILA BCO.x 100Gr.;ARCOR;;3107;;;sin-match
;CHOC.AGUILA FLIAR.x150g.;ARCOR;;12901;;;sin-match
;CHOCLO AMAR. ENTERO ARCOR x 300g;ARCOR;;14898;;;sin-match
;CHOCLO CREMOSO ARCOR x 300g;ARCOR;;9808;;;sin-match
;CHOCO MANI x520g;ARCOR;;13648;;;sin-match
7790580005825;CHOCOL.TAZA AGUILA x225g.;ARCOR;CHOCOLATES;10582;1010582;CHOCOLATE TAZA AGUILA CHOCOLATE TAZA 6 X 12 X 225 Gr.;alta
7790580120399;CHOCOLATE 25 GR. ARCOR 50% CACAO 12 X 30 X 25 Gr.;ARCOR;CHOCOLATES;1012039;1012039;CHOCOLATE 25 GR. ARCOR 50% CACAO 12 X 30 X 25 Gr.;arcor-catalog
7790580607401;CHOCOLATE 25 GR. ARCOR BLANCO 12 X 30 X 25 Gr.;ARCOR;CHOCOLATES;1006074;1006074;CHOCOLATE 25 GR. ARCOR BLANCO 12 X 30 X 25 Gr.;arcor-catalog
7790580607203;CHOCOLATE 25 GR. ARCOR LECHE 12 X 30 X 25 Gr.;ARCOR;CHOCOLATES;1006072;1006072;CHOCOLATE 25 GR. ARCOR LECHE 12 X 30 X 25 Gr.;arcor-catalog
7790580125769;CHOCOLATE 25 GR. ARCOR LECHE CON MANÍ 12 X 30 X 25 Gr.;ARCOR;CHOCOLATES;1012576;1012576;CHOCOLATE 25 GR. ARCOR LECHE CON MANÍ 12 X 30 X 25 Gr.;arcor-catalog
7790580585617;CHOCOLATE 8 GR. ARCOR BLANCO 20 X 40 X 8 Gr.;ARCOR;CHOCOLATES;1005856;1005856;CHOCOLATE 8 GR. ARCOR BLANCO 20 X 40 X 8 Gr.;arcor-catalog
7790580585716;CHOCOLATE 8 GR. ARCOR LECHE 20 X 40 X 8 Gr.;ARCOR;CHOCOLATES;1005857;1005857;CHOCOLATE 8 GR. ARCOR LECHE 20 X 40 X 8 Gr.;arcor-catalog
7790580126292;CHOCOLATE AGUILA EXTRAFINO AGUILA 70% CACAO 4 X 15 X 150 Gr.;ARCOR;CHOCOLATES;1012903;1012903;CHOCOLATE AGUILA EXTRAFINO AGUILA 70% CACAO 4 X 15 X 150 Gr.;arcor-catalog
