barcode;name;brand;category
7790580110949;GELATINAS GODET CEREZA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580110963;GELATINAS GODET DURAZNO 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580110956;GELATINAS GODET FRAMBUESA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580110932;GELATINAS GODET FRUTILLA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580113483;GELATO AGUILA CHOCOLATE 6 X 450 Cc.;ARCOR;HELADOS
7790580112578;GELATO AGUILA GRANIZADO 6 X 450 Cc.;ARCOR;HELADOS
7790580118143;GELATO BON O BON 6 X 450 Cc.;ARCOR;HELADOS
7790580112400;GELATO SUPER DULCE DE LECHE 6 X 450 Cc.;ARCOR;HELADOS
7790580112653;HEL. BOMBON ARCOR KIDSx30u.;ARCOR;HELADOS
7790580395803;HEL. COFLER ALMENDRA 16x80cc;ARCOR;HELADOS
7790580108397;HEL. COFLER BLOCK X 16u;ARCOR;HELADOS
7790580121334;HEL. COFLER CHOCOLINAS x16U;ARCOR;HELADOS
7790580524203;HEL. FANTA 16x80cc;ARCOR;HELADOS
7790580127107;HEL. MOG EXTRE SANDIA 30x50g;ARCOR;HELADOS
7790580121921;HEL. PALITO CINDOR  24x60;ARCOR;HELADOS
7790580524104;HEL. PALITO ROCKLETS x16u;ARCOR;HELADOS
7790580121877;HEL. POSTRE AGUILA x 637g;ARCOR;HELADOS
7790580121884;HEL. POSTRE ALMENDRADO x 675gr;ARCOR;HELADOS
7790580121907;HEL. POSTRE BON O BON x 637gr;ARCOR;HELADOS
7790580121860;HEL. POSTRE TOFI X 637gr;ARCOR;HELADOS
7790580024901;HEL. SLICE FRUTILLA C/FTA. 22x70cc;ARCOR;HELADOS
7790580708405;HEL. SLICE LIMON 22x70cc;ARCOR;HELADOS
7790580454210;HEL. TRES CREMAS CHOC VAI DDL;ARCOR;HELADOS
7790580357610;HUEVO TOY'S HUEVO TOY'S 8 X 12 X 22 Gr.;ARCOR;CHOCOLATES
7790580983307;JARDINERA 24 X 300 Gr.;ARCOR;ALIMENTOS
7790580308100;JELLY BUTTON  MOGUL x1.k;ARCOR;GOLOSINAS
